BA_Low	YA_Low	BA_Ctl	YA_Ctl	BW_Low	YW_Low	BW_Ctl	YW_Ctl	BB_Low	YB_Low	BB_Ctl	YB_Ctl	BX_Low	YX_Low	BX_Ctl	YX_Ctl	BC_Low	YC_Low	BC_Ctl	YC_Ctl	BY_Low	YY_Low	BY_Ctl	YY_Ctl	BD_Low	YD_Low	BD_Ctl	YD_Ctl	BZ_Low	YZ_Low	BZ_Ctl	YZ_Ctl	AA_Low	AD_Low	AC_Ctl	AB_Low	AC_Low	AA_Ctl	AB_Ctl	AD_Ctl	AW_Ctl	AW_Low	AX_Ctl	AX_Low	AY_Ctl	AY_Low	AZ_Ctl	AZ_Low
17998.6774992199	29278.1812025793	22180.6384030036	28281.520467099	19179.2530581318	22444.391431069	19793.2532497812	25043.5188219438	23649.1135432672	29823.8432472093	21889.3833213404	28328.5921068547	17619.4004935929	24002.950206106	20230.8933245505	24196.0434972528	17436.3855156222	25600.3874951397	19258.4142625674	26310.0635650532	23167.2540222136	22446.2995897973	23479.2216196949	23190.8617992283	23957.4031064806	19442.7739219894	21019.8460506679	24437.2749473026	21512.9941523086	27701.2445363825	19494.4162068958	26809.4358193075	12389.8667168531	11984.2247473305	12267.5916309859	13784.8137978479	14166.1997774356	12050.3428298585	15644.5648017385	15885.6457806399	14646.9230711615	15415.7671077761	12957.9837729605	14431.0447291906	10697.3157182653	9950.58829953311	12102.4891168194	14238.8451933094
16399.1202046608	27147.5294072597	21778.9061878542	27591.2685859646	18672.9461592118	22026.8152737266	18935.2235243731	24278.336034996	22583.1117433813	28965.6812434274	21223.3540773064	27820.4336401876	16912.9876136431	22547.940668402	17483.4637564657	23357.3750922837	16332.5777149282	24710.1888332093	18031.9134749207	25663.1048312275	22070.2494275031	20130.9635047002	22410.8557611128	21670.8656475848	22431.6803273909	14855.2776679559	20382.222299436	22581.7368838595	20211.4653374301	26372.3025280714	18126.9643890619	26048.5808025733	11723.5947353893	11231.371855837	11485.1954580917	13092.4461772573	13323.4539953335	10547.9587632531	11316.4135513023	12141.4350158728	11448.0421225134	14678.9822917312	11804.5365931119	13196.3760500871	9676.69561393736	9157.97785614204	11495.3189149611	11730.3688387266
15451.6708681251	26395.4839447166	21294.9389008212	27103.972981006	18277.5815486121	21647.1055269393	18056.5797993378	23692.8706074642	22174.7998306417	28462.4202902649	20623.0408402719	27226.1689528617	16062.7760191511	21827.097846108	16164.0191821616	22829.4073424267	15159.8375389114	24121.6223809706	17412.2701619648	24872.5618812316	21310.0674164593	19505.8341608139	21014.0923094401	19647.1911929894	21419.4062911178	12952.1870452158	19781.6724203547	21750.5892682653	19271.1780388126	24743.9755408025	17471.9637136347	24518.4225364644	11357.2033766482	10768.9007529284	10946.5937116108	12667.9159635014	12725.6886193216	9927.29079146019	10804.1159666388	10890.9423544739	10824.3031286282	13769.7583870425	11220.8228925541	11799.3357348142	9191.19098141415	8607.15370844108	11111.6140702369	10585.5531797666
14570.1627422559	25686.838266366	20963.6267180789	26527.5034624097	17803.0976431033	21381.0627426099	17193.1431645466	23177.1151518951	21443.1721299543	28001.8243242527	20044.3560257063	26781.7698092822	15639.398615517	21014.5029335399	14420.2906377734	22372.0158884729	14450.3550290462	23733.8717187725	16732.1694862691	24289.2890159941	20795.610554233	18829.8320323927	19623.1628963705	18126.907906704	20338.1033808175	12379.1807625753	19235.8149838087	20778.4059989829	18791.542011418	23824.175511265	16981.3517194509	23913.1685491174	11084.236747202	10494.6962121068	10375.7264200481	12404.3840124866	12118.9146561079	9620.21938001771	10396.4838430555	10534.5511613155	10343.0836458105	11779.2419123464	10769.1519737347	11167.4436007117	8941.00419664653	8330.37223488658	10791.7474341364	10005.4799385712
13039.6761855123	25056.9949543794	20609.8806684171	26120.3318060988	17487.5495955044	21100.1456103967	16411.4876685852	22391.7437878133	20783.0151682648	27519.186180567	19593.3691035954	26297.1225769855	14994.7546084823	20113.4289138555	13367.6218181193	21727.0010123689	12273.7268802691	23463.3517385574	16307.245277427	23501.1058906055	19938.5963510821	18255.9438135994	19048.3273623898	17719.3022569871	19603.3186264611	11979.9896932103	18642.6775850714	20174.5295098447	18343.8680609546	22743.6056879624	16388.1465803128	23232.5805714356	10803.3533425749	10236.7159881662	10103.8057623461	12194.1781064581	11627.7842341893	9361.73233897514	10104.0159088845	10235.343033162	10084.8186643368	10991.554618282	10442.251761921	10726.5036925338	8751.63273408669	8147.85612252751	10534.963460059	9499.01654291344
12227.1828882162	24675.7540522373	20319.6725281561	25588.0806098937	16867.9598870544	20839.4176844301	15957.3235424361	21113.5261171643	20272.5501554395	27169.5182913532	19167.0060142096	25661.6543673596	14508.9607787234	19389.9900088167	12957.7098348341	21278.6200322881	11054.2618299751	23239.407664617	16024.0297855395	22833.1990254797	19480.7427681849	17928.3591054386	18685.022766815	17424.9592065973	19153.9200874567	11699.6770329165	18223.8828351696	19762.1500283984	17907.9661608474	22160.9683450879	16034.4240510139	22946.544484975	10498.7572311518	10025.0588869202	9900.03169302661	11950.1403055705	11239.8873532828	9114.74036960023	9866.03351305682	9997.98105510173	9901.18932554787	10577.8242582232	10235.8247973004	10495.8923499518	8527.05813854027	7985.61051688495	10150.6931455251	9159.30401535921
11893.6721825874	24135.4012821454	19886.0452279816	25075.0556682603	16166.8911615057	20660.026807037	15556.0689363386	20383.8953316673	19908.1037320297	26838.6911323918	18786.0018525781	25283.0572664346	13862.4538968809	18917.7253964482	12680.6325583174	20902.8415500758	10750.9724696715	22984.8778658716	15831.3844881877	22305.0740929033	19216.3700221659	17684.2531345593	18414.8880418803	17139.5997271562	18832.0438739494	11448.405655026	17872.7828112482	19418.0866064576	17680.9491371343	21885.2642481942	15801.2505575519	22610.1673153337	10217.3046179898	9869.51557347395	9741.91993184322	11662.7420251673	10998.7322710956	8886.84237242705	9638.35032828681	9757.06068203652	9700.25242879779	10282.2307950936	10076.1716094013	10327.0896336968	8207.87102634816	7790.91764282986	9857.21690125893	8833.34447512009
11567.5059855013	23653.1023788645	19076.2944482653	24699.9395001201	15528.2974052601	20461.1841065864	15036.5524266988	19871.4642014639	19674.0274283861	26591.5785089579	18337.7380820049	24740.9584704882	13490.9411796851	18664.7328741809	12499.3142850007	20647.0712535734	10531.4302049152	22760.6511277312	15675.0103591844	21857.8385578134	18988.4145435636	17453.1649858333	18197.8281092701	16866.3052606733	18547.7759788034	11202.0933579428	17449.4070149413	19068.3454726173	17494.4200869385	21639.309624615	15538.577627445	22344.8267444326	9977.14313676576	9675.98727586617	9555.99543676079	11364.3381061403	10771.5198263016	8723.09626010561	9395.89359460846	9496.2706523471	9538.32063950534	9902.25285288298	9915.44144534318	10171.031427422	7921.8430356626	7608.37673832096	9532.1141006899	8521.30443305502
11253.0107331611	23068.5802915358	17742.1303251246	24385.9754193785	14869.6249825592	20272.4167892672	14572.5725810364	19387.5411008638	19469.5435476909	26362.6522358995	18001.1554676555	24348.2096071022	13120.7336082709	18380.9506704541	12340.152986339	20402.1244156405	10326.6819011063	22538.2319599362	15520.4058603566	21406.6915221035	18756.7555917105	17253.4796137382	18004.8104188437	16625.4619479903	18272.6156982809	11012.4047368448	16955.4310366888	18755.6297854156	17324.5456412421	21436.3507098372	15253.1200399246	22087.3898073499	9704.38247821909	9499.55021494613	9348.85491368787	11139.6657957348	10561.0706888727	8566.94853600658	9181.69928460707	9235.89997193007	9391.66928833805	9604.08666706752	9753.9675810657	9934.57634983996	7640.30487811186	7389.45472613609	9191.55503909259	8233.3968762733
10998.0099204479	22684.8142700267	17238.3763919523	24042.6041388207	13869.3534066677	20083.3026306859	14164.5618768843	18801.8918559185	19260.1633815558	26121.4391426595	17528.7026153491	23931.124885497	12760.5389395544	18205.298542958	12180.1231045474	20174.989832019	10187.8340730387	22288.4331295691	15333.2174365305	21051.6809261839	18496.5331672467	17074.9787005266	17825.1861741322	16424.3342664704	18015.6210528535	10849.2629553248	16519.8108084978	18415.1513492175	17156.8374341847	21214.6964087784	14924.4707490829	21750.4790966102	9438.29492182265	9300.1322216326	9150.60946831239	10660.1358313819	10367.7551447543	8423.607790046	8999.77857616875	9050.54850879803	9199.8510000168	8949.18942108812	9556.16456363711	9726.09612271817	7388.15695607506	7168.17294461594	8792.1837483704	7567.25056464656
