2_AA_Ctl	2_AA_Low	2_AB_Ctl	2_AB_Low	2_AC_Ctl	2_AC_Low	2_AD_Ctl	2_AD_Low	2_AW_Ctl	2_AW_Low	2_AX_Ctl	2_AX_Low	2_AZ_Ctl	2_AZ_Low	2_BA_Ctl	2_BA_Low	2_BB_Ctl	2_BB_Low	2_BC_Ctl	2_BC_Low	2_BD_Ctl	2_BD_Low	2_BW_Ctl	2_BW_Low	2_BX_Ctl	2_BX_Low	2_BZ_Ctl	2_BZ_Low	2_YA_Ctl	2_YA_Low	2_YB_Ctl	2_YB_Low	2_YC_Ctl	2_YC_Low	2_YD_Ctl	2_YD_Low	2_YW_Ctl	2_YW_Low	2_YX_Ctl	2_YX_Low	2_YZ_Ctl	2_YZ_Low
ERCC-00002	9226	10504	5704	12735	14812	8423	11475	5156	10367	9836	7220	10009	12607	12551	13919	10633	6150	9310	12350	8862	15596	10603	12798	6948	12491	9704	12341	11073	8826	5823	6732	11435	6418	8682	9535	13763	5341	15192	4905	5123	11879	6634
ERCC-00003	1174	1042	430	858	1045	575	717	572	1028	606	1051	729	653	817	992	1083	545	677	1214	840	1487	1478	873	754	1075	672	757	677	727	501	609	798	454	601	641	1370	529	884	480	540	775	489
ERCC-00004	4512	3714	1589	3542	4742	2641	2943	1849	3657	2487	3752	2757	2767	3560	3997	3615	1945	2731	4890	2858	5528	5605	3294	2711	3956	3031	3175	2913	2801	1946	2583	3031	1943	2541	2758	5604	1718	3645	1761	2094	2832	1737
ERCC-00009	555	682	386	713	1010	537	663	272	654	642	416	564	744	735	856	618	348	584	725	539	832	614	731	369	697	558	681	618	497	348	435	685	400	494	543	771	279	890	297	294	643	389
ERCC-00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
ERCC-00013	0	2	0	0	2	0	2	2	0	0	0	0	0	1	1	0	3	0	1	4	1	2	3	1	1	2	4	0	0	0	1	2	0	1	2	1	0	3	0	0	0	0
ERCC-00014	0	0	1	0	2	2	2	0	2	1	1	1	0	3	0	0	0	0	0	0	3	2	0	2	1	0	1	2	2	0	0	0	1	1	0	1	0	1	1	0	3	0
ERCC-00016	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00017	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0
ERCC-00019	14	22	9	17	22	12	18	13	16	13	15	14	15	14	21	16	15	19	17	15	25	7	21	8	17	23	16	14	13	7	6	18	9	15	11	26	8	16	6	11	20	7
ERCC-00022	134	126	55	168	140	84	131	74	128	133	96	114	123	117	182	157	70	105	149	126	219	144	139	82	165	113	150	118	120	86	101	137	79	107	107	205	80	174	79	67	140	73
ERCC-00024	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ERCC-00025	24	30	12	37	50	23	33	12	48	29	35	39	44	44	41	36	24	46	48	31	54	38	51	22	41	34	54	38	25	13	27	34	14	22	21	53	12	51	13	21	38	16
