Sample.Number	Culture	Est_num_larvae	ERCC_1.100	Experiment	Female	Male	Treatment	Female_Pop	Male_Pop	Growth_Rate	Mortality_d21	Time_sampled	survival_21	survival_7	death_rate_7	initial_count	settle_percent	health_7
1	AD_Ctl	1440	7.2	2	A	D	Ctl	D	D	0.038	0.657011101238656	179	0.342988898761344	0.862649649572694	0.0288687499692672	11711.2101257771	0.006489508700106	0.995967741935484
2	AD_Low	1940	9.7	2	A	D	Low	D	D	0.0336	0.876529784080188	224	0.123470215919812	0.916682506420561	0.0186950069652637	10835.4973413873	0.0079368761110313	0.879805672268908
3	YB_Ctl	4300	21.5	2	Y	B	Ctl	N	D	0.0421	0.353954306733733	135	0.646045693266267	0.929420567726266	0.018847696183776	27231.9237816998	0	0.970407196969697
4	YB_Low	5840	29.2	2	Y	B	Low	N	D	0.0384	0.389566589351924	157	0.610433410648076	0.943184307077958	0.0106259380846565	28491.5840785901	7.01961672079473e-05	0.97675301628475
9	AB_Ctl	1980	9.9	2	A	B	Ctl	D	D	0.0378	0.868355426072139	188	0.131644573927861	0.864214042233822	0.026809305660931	11503.9308172193	0.000521560855618072	0.991071428571429
10	AZ_Ctl	2140	10.7	2	A	Z	Ctl	D	N	0.0388	0.987497365875616	189	0.012502634124384	0.883656869893345	0.0338005466697338	11175.9910372972	0.000178955046879107	0.996527777777778
11	AX_Ctl	2160	10.8	2	A	X	Ctl	D	N	0.0419	0.615654747024264	178	0.384345252975736	0.893044793818117	0.0174584630065255	11379.0476108297	0.0310219283786142	0.967436974789916
12	AW_Ctl	2520	12.6	2	A	W	Ctl	D	N	0.0401	0.76203390606884	185	0.23796609393116	0.871752115916648	0.0193277123075735	11359.2088684727	0.124304431439674	1
13	BB_Ctl	3030	15.15	2	B	B	Ctl	D	D	0.037	0.399506063785064	137	0.600493936214936	0.91282986698825	0.0211497454094229	20615.9183723206	0	0.945389148853823
14	BZ_Ctl	3320	16.6	2	B	Z	Ctl	D	N	0.04	0.941315343711164	131	0.0586846562888363	0.900744640350998	0.0177492045771315	17732.2369150073	0.013703854802117	0.990562678062678
21	BX_Ctl	3360	16.8	2	B	X	Ctl	D	N	0.0349	0.581800236404614	144	0.418199763595386	0.742632295281398	0.0200443165391271	17301.0238605379	5.78000474457995e-05	0.988095238095238
22	BW_Ctl	3440	17.2	2	B	W	Ctl	D	N	0.0393	0.754898055874164	131	0.245101944125836	0.856313918145146	0.0304806309984665	18285.0826578689	0.000382825723622725	0.960185419478183
23	BD_Ctl	5820	29.1	2	B	D	Ctl	D	D	0.0379	0.415504070214959	136	0.584495929785041	0.902287370755098	0.0228395429887738	19820.3764426288	0	0.996951219512195
24	YD_Ctl	3320	16.6	2	Y	D	Ctl	N	D	0.0416	0.694661831058051	144	0.305338168941949	0.883255544001081	0.0180982436480295	22092.3012766685	0.0118593349202917	0.965431214567174
