immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
immune system process	0.778529922722099	0.455543045393687	0.322465670888924	0.256504896115128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478975935405412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380960899174189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277526834356746	0.304681029654949	0	0	0.291501651790191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
immune response	0.455543045393687	0.973881267597196	0.753965489806528	0.628945687980745	0.585448478938974	0	0.47768202905577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451575638147491	0.451575638147491	0	0	0	0.333500344785681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503864145192723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.407284293785866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343861505225756	0	0	0	0	0	0	0	0.40935868391841	0.855505821953606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221534713557661	0.238502334905215	0	0	0.696755449471306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B cell mediated immunity	0.322465670888924	0.753965489806528	0.996884921823519	0.529250667508685	0.423357822376319	0	0.363978021146281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.348621028755273	0.348621028755273	0	0	0	0.256119940352049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378983427668923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321619597813937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280731429788366	0	0	0	0	0	0	0	0.322911754342627	0.681013091493681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18450564682624	0.196126342629986	0	0	0.576460169400897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
natural killer cell activation	0.256504896115128	0.628945687980745	0.529250667508685	0.999520757203618	0.340397420756007	0	0.300924456859252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290350031118755	0.290350031118755	0	0	0	0.212681044449015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311108536818039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271375003587599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241674441018696	0	0	0	0	0	0	0	0.272294388348637	0.577353102420094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160840382419271	0.169600475127425	0	0	0.500408587308089	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to stimulus	0	0.585448478938974	0.423357822376319	0.340397420756007	0.851734259869406	0	0.641261726755793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595078230001676	0.595078230001676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.689348607858866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520488971480239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421206846473223	0	0	0	0	0	0	0	0.523881577481239	0.495458979979134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384635599510627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
proteolysis	0	0	0	0	0	0.852572934763074	0	0	0.118968221961984	0	0.536571961727375	0	0	0.141926846952074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10293439782815	0.0874282953845395	0	0.0812590669073685	0	0	0.0754317265523344	0.0613488499427672	0.0486690992985946	0.400331070289808	0.325267116404299	0	0	0	0	0	0	0	0.0654865440591875	0.0566228767249577	0.058350878263274	0.0507634771792373	0	0	0	0	0	0	0.239980086283829	0.0608645342950363	0.0473956148831897	0.0410481484438655	0.0629693151099172	0.0676444238782899	0	0	0	0	0.0474295935063112	0	0	0	0	0	0	0	0	0	0.0466486726642081	0.0501289294741315	0.0497405648383087	0.0488557561581122	0	0	0.29202068871438	0	0.0754057985722853	0.0569724470673212	0.0543945040249036	0.0504508665450964	0.065351437077744	0.06594325765112	0.0420728386545988	0.0554144920049864	0.0473956148831897	0	0	0	0.0490993307449161	0.0412242144035757	0.0237696077983301	0	0.0434745346153308	0	0	0	0	0	0.0458620744597968	0	0	0	0	0.0570351102126966	0	0	0	0	0.0476083658721064	0.0540490540989185	0.0442371931056555	0.0413633987117023	0.0414873603073333	0	0	0	0.0389929357898439	0	0	0.0376510022931797	0.32469705199849	0	0	0	0.0364450088011357	0.036672068696621	0.23122674001647	0	0	0.0431227814573881	0	0.209991153273191	0.0490993307449161	0	0.20265617062712	0.0335794211121762	0.0415156425243707	0.0325360558262116	0	0	0	0.0338509739304068	0	0	0.0252750726761625	0	0	0	0.0252750726761625	0	0	0	0	0	0	0	0	0.266937097698582	0	0	0	0	0	0	0.0342012595335878	0.0319517567782365	0	0	0	0	0	0.0644609829142037	0	0	0	0	0	0	0.0328484558620943	0	0	0	0	0	0	0	0	0.0471041340830652	0.0473236032450797	0	0	0	0	0.186924428602509	0.0415156425243707	0.0352306979533186	0.0379854889555354	0	0.178805014268383	0.0289410801281225	0	0	0	0
cellular defense response	0	0.47768202905577	0.363978021146281	0.300924456859252	0.641261726755793	0	0.957646917869766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48407352547563	0.48407352547563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544663675222875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43353462223607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362386984126044	0	0	0	0	0	0	0	0.435885798960523	0.416028562717299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334984369485648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mesoderm development	0	0	0	0	0	0	0	0.903372671179536	0	0	0	0.425582230291867	0.669107482116294	0	0.614609390682698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.562794348921992	0.557854463477718	0	0	0	0	0	0	0	0	0.366493809742304	0.410324691239588	0.418927113546459	0.450080676536774	0	0	0	0	0	0	0	0.501189823082297	0	0.501189823082297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368165652192909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303158661083939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428042744646392	0	0	0	0.432985045203134	0	0	0	0	0	0	0.449252476327606	0	0	0	0	0	0.308169061913381	0.291000769280448	0	0	0.325857488934518	0.285327325150542	0	0	0	0	0	0	0	0.530071059622865	0	0	0	0	0	0	0	0	0	0	0
metabolic process	0	0	0	0	0	0.118968221961984	0	0	0.336787875157252	0	0.172144179198141	0	0	0.318395152965618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156498371835494	0.117822864334707	0	0.104773361171507	0	0	0.0934428857041319	0.0694141194781889	0.0510832262860689	0.10377593014767	0.0762513162497361	0	0	0	0	0	0	0	0.0760308602252712	0.0622570420811096	0.0648265668866761	0.0539259386195713	0	0	0	0	0	0	0.0507424295061358	0.068661585815393	0.0493876952150583	0.0412887932836482	0.0719649381749793	0.079620617950189	0	0	0	0	0.0639079519726741	0	0	0	0	0	0	0	0	0	0.0484045425838266	0.0530574284529786	0.0525289925536246	0.0513338160262254	0	0	0.0656748011209017	0	0.0933944591289033	0.0627725586183747	0.0590208002573559	0.053497272049436	0.0758093520409278	0.0767824482261667	0.0545496432326092	0.0604914952065664	0.0493876952150583	0	0	0	0.0516616234414529	0.0531315472931561	0.0272969331102991	0	0.044317411244369	0	0	0	0	0	0.0610943313096742	0	0	0	0	0.0628651971485863	0	0	0	0	0.0496692500725153	0.0585267084079221	0.0452862576515485	0.0416777385798739	0.0535694707842728	0	0	0	0.0494821863154405	0	0	0.0473409982747913	0.0760624178980638	0	0	0	0.0357585843750648	0.045803627681718	0.0484045425838266	0	0	0.0438733144505456	0	0.0429218371901303	0.0516616234414529	0	0.0410876925059283	0.032450955628039	0.0418660533357242	0.0395276369283345	0	0	0	0.0414853935340113	0	0	0.0293011995509959	0	0	0	0.0293011995509959	0	0	0	0	0	0	0	0	0.0582472352037669	0	0	0	0	0	0	0.0331602291912848	0.0306161842149174	0	0	0	0	0	0.0743588397798763	0	0	0	0	0	0	0.0316231141082618	0	0	0	0	0	0	0	0	0.0490030492839533	0.0492925486163225	0	0	0	0	0.0372522101022649	0.0418660533357242	0.0343446899028432	0.0375788318262765	0	0.0353233608499332	0.0343446899028432	0	0	0	0
cellular process	0	0	0	0	0	0	0	0	0	0.530941113041395	0	0	0	0	0	0	0	0	0	0.42636029407389	0.299767214773307	0.42083742090271	0.320171380986711	0	0	0	0	0.252523706806995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273258209480601	0.207261790211363	0.235688302640098	0	0	0	0	0	0	0	0	0.156473627196002	0.175941751042882	0.160533860647175	0	0.239007800315115	0.214710271536244	0	0	0	0	0	0	0	0	0	0.160936443030215	0	0	0	0	0.142642427934761	0.138655281558599	0.137984809990407	0	0.174144064198869	0.178301367130382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266955988703378	0.230063992584431	0	0	0	0	0	0	0	0	0	0.265992809749538	0	0	0.165180263655602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163674109338198	0	0.138876056323355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121254758999278	0	0	0	0	0.147694321205664	0	0	0	0	0	0	0	0	0.185412873719991	0	0	0	0	0	0	0.255726750778256	0	0	0	0	0	0	0	0	0	0	0.148910480181379	0.131010086393708	0	0.109455759826674	0	0	0	0	0	0	0	0	0	0	0	0	0.118375236009093	0.118375236009093	0	0	0	0	0	0	0	0	0	0	0.0956954616504901	0
