intracellular	nucleus	proton-transporting ATP synthase complex	cytoplasm	mitochondrion	mitochondrial inner membrane	organelle	cytoskeleton	plasma membrane	cell junction	cytosol	extracellular region	extracellular matrix	actin cytoskeleton	microtubule	ribonucleoprotein complex	vesicle coat	protein complex	tubulin complex	SNARE complex	tight junction	heterotrimeric G-protein complex	endoplasmic reticulum	nuclear chromosome	intermediate filament cytoskeleton	MHC protein complex	chromosome
intracellular	0.591329068941009	0.237542724104559	0.170743811234453	0.3289895669656	0.245235936514128	0.232758838680517	0.248280742619383	0.533439884768122	0	0	0.129946946749941	0	0	0.365302930383411	0.370578583550396	0	0.215741775543481	0	0.229182459686454	0	0	0	0.150209862172169	0.166600387266029	0.150209862172169	0	0.119754545782835
nucleus	0.237542724104559	0.971570717839375	0.119397412312699	0.179911987646311	0.151598552670609	0.146736100786686	0.152756603288191	0.227619913491424	0	0	0.0979037680627577	0	0	0.190254504667403	0.19167567031901	0	0.139785180838102	0	0.145306619901672	0	0	0	0.108979760782155	0.767176295022655	0.108979760782155	0	0.0920041328868315
proton-transporting ATP synthase complex	0.170743811234453	0.119397412312699	0.99502487562189	0.138788037273402	0.12131023286929	0.118176571175303	0.122050638969911	0.165556133813163	0	0	0.0843094250100154	0	0	0.144862957448607	0.14568542013005	0	0.113626127222837	0	0.117247623162434	0	0	0	0.0923960425192989	0.0983476717179304	0.0923960425192989	0	0.0798975037683476
cytoplasm	0.3289895669656	0.179911987646311	0.138788037273402	0.901918976545842	0.729371614554282	0.701127767592467	0.186004884568156	0.310257441888263	0	0	0.437609951022029	0	0	0.244740622748662	0.247097391574882	0	0.661420195256794	0	0.175074933201933	0	0	0	0.49435353677355	0.136037924969611	0.124908554618522	0	0.103104284406764
mitochondrion	0.245235936514128	0.151598552670609	0.12131023286929	0.729371614554282	0.967306325515281	0.935667317907638	0.958002028306853	0.234674273433837	0	0	0.392551545222772	0	0	0.195157970123831	0.196653623683824	0	0.563636105327653	0	0.148149559578307	0	0	0	0.679449730130902	0.73249738874854	0.110571124514646	0	0.572311003069292
mitochondrial inner membrane	0.232758838680517	0.146736100786686	0.118176571175303	0.701127767592467	0.935667317907638	0.974058280028429	0.926431108040282	0.223223653967892	0	0	0.384221334415765	0	0	0.187173361743131	0.188548702624362	0	0.54661992466034	0	0.143502449433214	0	0	0	0.663415409322071	0.713895860425904	0.10796175872342	0	0.560892236168939
organelle	0.248280742619383	0.152756603288191	0.122050638969911	0.186004884568156	0.958002028306853	0.926431108040282	0.965529495380242	0.237460973452011	0	0	0.0996806128251969	0	0	0.197081346635163	0.198606741466238	0	0.14343572706204	0	0.149255324201827	0	0	0	0.683227535522699	0.736890029148643	0.111185910527274	0	0.57498899038289
cytoskeleton	0.533439884768122	0.227619913491424	0.165556133813163	0.310257441888263	0.234674273433837	0.223223653967892	0.237460973452011	0.663468372423596	0	0	0.126920176456466	0	0	0.467485959862212	0.473807413449579	0	0.207525255449134	0	0.300320579213507	0	0	0	0.146180190276424	0.161657788506265	0.199611131405721	0	0.11717925974129
plasma membrane	0	0	0	0	0	0	0	0	0.917910447761194	0.823253424855084	0	0	0	0	0	0	0	0	0	0	0.648684566407246	0	0	0	0	0	0
cell junction	0	0	0	0	0	0	0	0	0.823253424855084	0.953802416488984	0	0	0	0	0	0	0	0	0	0	0.766749996539664	0	0	0	0	0	0
cytosol	0.129946946749941	0.0979037680627577	0.0843094250100154	0.437609951022029	0.392551545222772	0.384221334415765	0.0996806128251969	0.126920176456466	0	0	0.999289267945984	0	0	0.114392962094432	0.11490521189386	0	0.371983519180146	0	0.0964536117864595	0	0	0	0.312574551600216	0.0832866271785274	0.0789783678007751	0	0.0696633219944547
extracellular region	0	0	0	0	0	0	0	0	0	0	0	0.546908315565032	0.526739705325335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
extracellular matrix	0	0	0	0	0	0	0	0	0	0	0	0.526739705325335	0.573560767590618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
actin cytoskeleton	0.365302930383411	0.190254504667403	0.144862957448607	0.244740622748662	0.195157970123831	0.187173361743131	0.197081346635163	0.467485959862212	0	0	0.114392962094432	0	0	0.864960909737029	0.364639721123324	0	0.176009261165851	0	0.252420334384246	0	0	0	0.129807741088647	0.141869421071992	0.177254318898672	0	0.106419636659234
microtubule	0.370578583550396	0.19167567031901	0.14568542013005	0.247097391574882	0.196653623683824	0.188548702624362	0.198606741466238	0.473807413449579	0	0	0.11490521189386	0	0	0.364639721123324	0.859275053304904	0	0.177224895653418	0	0.592910715128995	0	0	0	0.130467745003867	0.142658150690213	0.178155563643258	0	0.106862827930123
ribonucleoprotein complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.963397299218195	0	0	0	0	0	0	0	0	0	0	0
vesicle coat	0.215741775543481	0.139785180838102	0.113626127222837	0.661420195256794	0.563636105327653	0.54661992466034	0.14343572706204	0.207525255449134	0	0	0.371983519180146	0	0	0.176009261165851	0.177224895653418	0	0.981876332622601	0	0.136847564267869	0	0	0	0.412202007514562	0.111776152655812	0.104151286760353	0	0.088538835191728
protein complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952380952380952	0.856918475664359	0.77103784713	0	0.730146798147865	0	0	0	0.682087196661805	0
tubulin complex	0.229182459686454	0.145306619901672	0.117247623162434	0.175074933201933	0.148149559578307	0.143502449433214	0.149255324201827	0.300320579213507	0	0	0.0964536117864595	0	0	0.252420334384246	0.592910715128995	0	0.136847564267869	0.856918475664359	0.975835110163468	0.707250916413991	0	0.672694116498259	0.107185933805505	0.11527886605275	0.146363918922509	0.631687849486887	0.0907223381734773
SNARE complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77103784713	0.707250916413991	0.98862828713575	0	0.618604864977344	0	0	0	0.583757049987837	0
tight junction	0	0	0	0	0	0	0	0	0.648684566407246	0.766749996539664	0	0	0	0	0	0	0	0	0	0	0.989694385216773	0	0	0	0	0	0
heterotrimeric G-protein complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730146798147865	0.672694116498259	0.618604864977344	0	0.992537313432836	0	0	0	0.560012065361237	0
endoplasmic reticulum	0.150209862172169	0.108979760782155	0.0923960425192989	0.49435353677355	0.679449730130902	0.663415409322071	0.683227535522699	0.146180190276424	0	0	0.312574551600216	0	0	0.129807741088647	0.130467745003867	0	0.412202007514562	0	0.107185933805505	0	0	0	0.997867803837953	0.560225753708434	0.0860318720402303	0	0.461445355107573
nuclear chromosome	0.166600387266029	0.767176295022655	0.0983476717179304	0.136037924969611	0.73249738874854	0.713895860425904	0.736890029148643	0.161657788506265	0	0	0.0832866271785274	0	0	0.141869421071992	0.142658150690213	0	0.111776152655812	0	0.11527886605275	0	0	0	0.560225753708434	1.45480612056357	0.0911690575808636	0	1.18502204960069
intermediate filament cytoskeleton	0.150209862172169	0.108979760782155	0.0923960425192989	0.124908554618522	0.110571124514646	0.10796175872342	0.111185910527274	0.199611131405721	0	0	0.0789783678007751	0	0	0.177254318898672	0.178155563643258	0	0.104151286760353	0	0.146363918922509	0	0	0	0.0860318720402303	0.0911690575808636	0.997867803837953	0	0.0750939025415087
MHC protein complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682087196661805	0.631687849486887	0.583757049987837	0	0.560012065361237	0	0	0	0.995735607675906	0
chromosome	0.119754545782835	0.0920041328868315	0.0798975037683476	0.103104284406764	0.572311003069292	0.560892236168939	0.57498899038289	0.11717925974129	0	0	0.0696633219944547	0	0	0.106419636659234	0.106862827930123	0	0.088538835191728	0	0.0907223381734773	0	0	0	0.461445355107573	1.18502204960069	0.0750939025415087	0	0.999644633972992
