receptor activity	receptor binding	binding	protein binding	nucleic acid binding	catalytic activity	ubiquitin-protein ligase activity	ligase activity	DNA binding	transcription factor activity	transcription cofactor activity	transcription regulator activity	growth factor activity	enzyme inhibitor activity	serine-type endopeptidase inhibitor activity	enzyme regulator activity	protease inhibitor activity	protein kinase activity	non-membrane spanning protein tyrosine kinase activity	kinase activity	transferase activity	single-stranded DNA binding	enzyme activator activity	kinase regulator activity	kinase activator activity	DNA replication origin binding	RNA binding	mRNA binding	DNA helicase activity	helicase activity	hydrolase activity	DNA primase activity	DNA-directed RNA polymerase activity	nucleotidyltransferase activity	nuclease activity	hydrolase activity, acting on ester bonds	chromatin binding	phosphoprotein phosphatase activity	phosphoric monoester hydrolase activity	endoribonuclease activity	transporter activity	transmembrane transporter activity	cation transmembrane transporter activity	transferase activity, transferring glycosyl groups	isomerase activity	intramolecular transferase activity	phosphorylase activity	peptidase activity	metallopeptidase activity	amino acid transmembrane transporter activity	acyltransferase activity	oxidoreductase activity	lyase activity	carboxy-lyase activity	deaminase activity	hydro-lyase activity	racemase and epimerase activity	carbohydrate transmembrane transporter activity	ATPase activity, coupled to transmembrane movement of substances	pyrophosphatase activity	ion channel activity	anion channel activity	hydrogen ion transmembrane transporter activity	voltage-gated ion channel activity	voltage-gated potassium channel activity	cation channel activity	adenylate cyclase activity	guanylate cyclase activity	phosphoric diester hydrolase activity	nucleotide phosphatase activity	deacetylase activity	carbohydrate kinase activity	nucleotide kinase activity	transaminase activity	ligand-gated ion channel activity	cyclic nucleotide-gated ion channel activity	peroxidase activity	antioxidant activity	hydrogen ion transporting ATP synthase activity, rotational mechanism	calcium ion binding	calmodulin binding	acetyltransferase activity	G-protein coupled receptor activity	structural molecule activity	structural constituent of cytoskeleton	methyltransferase activity	DNA-methyltransferase activity	carbohydrate phosphatase activity	amino acid kinase activity	translation elongation factor activity	translation factor activity, nucleic acid binding	translation regulator activity	translation initiation factor activity	small GTPase regulator activity	guanyl-nucleotide exchange factor activity	serine-type peptidase activity	protein disulfide isomerase activity	lipid binding	hydrolase activity, hydrolyzing N-glycosyl compounds	phospholipase activity	lipase activity	hydrolase activity, hydrolyzing O-glycosyl compounds	galactosidase activity	glucosidase activity	transketolase activity	lipid transporter activity	cysteine-type peptidase activity	amylase activity	glutamate receptor activity	double-stranded DNA binding	voltage-gated calcium channel activity	voltage-gated sodium channel activity	calcium-dependent phospholipid binding	GTPase activity	hormone activity	transaldolase activity	endodeoxyribonuclease activity	extracellular matrix structural constituent	RNA-directed DNA polymerase activity	RNA helicase activity	actin binding	cytoskeletal protein binding	motor activity	transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein kinase activity	phosphatase regulator activity	phosphatase inhibitor activity	transmembrane receptor protein serine/threonine kinase activity	kinase inhibitor activity	structural constituent of ribosome	microtubule binding	RNA splicing factor activity, transesterification mechanism	aspartic-type endopeptidase activity	translation release factor activity	poly(A) binding	cytokine activity	neuropeptide hormone activity	damaged DNA binding	microtubule motor activity	exoribonuclease activity	aminoacyl-tRNA ligase activity	DNA-directed DNA polymerase activity	SNAP receptor activity	hematopoietin/interferon-class (D200-domain) cytokine receptor activity	tumor necrosis factor receptor activity	tumor necrosis factor receptor binding	hematopoietin/interferon-class (D200-domain) cytokine receptor binding	centromeric DNA binding	DNA topoisomerase activity	ligand-dependent nuclear receptor activity	DNA ligase activity	RNA methyltransferase activity	transforming growth factor beta receptor activity	DNA strand annealing activity	DNA polymerase processivity factor activity	exodeoxyribonuclease activity	DNA photolyase activity	acetylcholine receptor activity	GABA receptor activity	cysteine protease inhibitor activity	structural constituent of myelin sheath	phosphatase activator activity	intermediate filament binding
receptor activity	0.779304315243864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563519788476227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267790507071935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368181352164324	0.380977912888064	0	0	0.314901984294607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290703271529246	0.264919362243929	0.224308628128351	0	0	0	0.30837762950701	0	0	0.264919362243929	0	0	0	0	0.337035264553323	0.337035264553323	0	0	0	0
receptor binding	0	0.92718416286767	0.276675373484577	0.653878396690907	0.24525754027294	0	0	0	0.200321838641749	0.190527725740271	0	0	0.5955145771603	0	0	0	0	0	0	0	0	0.128967896660651	0	0	0	0.111202549461821	0.158820725119361	0.147362363662682	0	0	0	0	0	0	0	0	0.137625570418164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156723972379181	0.432283823143782	0	0	0	0	0	0	0	0	0	0.135357738982609	0	0	0	0	0	0	0.100508835894727	0	0	0	0	0	0	0	0	0	0	0	0.11214428847169	0	0	0.135357738982609	0	0.549856419673488	0	0	0	0	0	0.40689658150594	0.422555347211876	0	0	0	0	0	0	0	0	0.345755590594013	0	0	0	0.121869113621264	0.577717145927654	0.469153331922738	0.118067950718662	0	0	0	0	0.3218135410808	0	0	0	0.490565889319708	0.104488463120786	0.0957841248140763	0	0	0	0	0.0957841248140763	0	0	0	0	0	0	0	0	0.231144267017308
binding	0	0.276675373484577	0.568975207643789	0.372622023321455	0.450339215510751	0	0	0	0.318962102623385	0.294830296904645	0	0	0.150116879370561	0	0	0	0	0	0	0	0	0.169575756479769	0	0	0	0.140138430850865	0.225245050485449	0.202872884844894	0	0	0	0	0	0	0	0	0.184867031457453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221050822765974	0.199553081110664	0	0	0	0	0	0	0	0	0	0.180798086225691	0	0	0	0	0	0	0.123570051212398	0	0	0	0	0	0	0	0	0	0	0	0.141637334274227	0	0	0.180798086225691	0	0.135707235852072	0	0	0	0	0	0.183833378295844	0.193449056030704	0	0	0	0	0	0	0	0	0.148589037485809	0	0	0	0.157511910189286	0.144427396434618	0.111659748005294	0.151219569900108	0	0	0	0	0.135707235852072	0	0	0	0.117871375481781	0.129640543017562	0.116504693936481	0	0	0	0	0.116504693936481	0	0	0	0	0	0	0	0	0.0910111606299881
protein binding	0	0.653878396690907	0.372622023321455	0.822456753887466	0.317794540406793	0	0	0	0.24622612220824	0.231592962627873	0	0	0.391285499298513	0	0	0	0	0	0	0	0	0.146558623511263	0	0	0	0.124039621125158	0.186367305339752	0.170784457335149	0	0	0	0	0	0	0	0	0.15784242926139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183486731552687	0.500042994803985	0	0	0	0	0	0	0	0	0	0.154866586165221	0	0	0	0	0	0	0.110880546522012	0	0	0	0	0	0	0	0	0	0	0	0.125212482581027	0	0	0.154866586165221	0	0.357919735548805	0	0	0	0	0	0.466383107969974	0.487071434156377	0	0	0	0	0	0	0	0	0.387784857444623	0	0	0	0.137459594112814	0.37820525171948	0.30044003665547	0.132642891407352	0	0	0	0	0.357919735548805	0	0	0	0.315508546568917	0.115743753214289	0.10515817718161	0	0	0	0	0.10515817718161	0	0	0	0	0	0	0	0	0.24920034951265
nucleic acid binding	0	0.24525754027294	0.450339215510751	0.317794540406793	0.723349778305127	0	0	0	0.539481254922512	0.503567987999918	0	0	0.140361148784009	0	0	0	0	0	0	0	0	0.305208173293056	0	0	0	0.255454143214681	0.395941190622073	0.359991623885021	0	0	0	0	0	0	0	0	0.17029114768643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200527424699385	0.182675076819684	0	0	0	0	0	0	0	0	0	0.323846304001232	0	0	0	0	0	0	0.116882806525499	0	0	0	0	0	0	0	0	0	0	0	0.258018296159301	0	0	0.166832539378107	0	0.127684464401587	0	0	0	0	0	0.169413679159469	0.177546662910873	0	0	0	0	0	0	0	0	0.139024551631154	0	0	0	0.284971112060843	0.135374846752524	0.106170848395367	0.274331892854972	0	0	0	0	0.127684464401587	0	0	0	0.111771475791172	0.237401451235972	0.214577860030334	0	0	0	0	0.214577860030334	0	0	0	0	0	0	0	0	0.0873311653240104
catalytic activity	0	0	0	0	0	0.463623306063823	0.150314410223595	0.171311703553069	0	0	0	0	0	0	0	0	0	0.145135776436628	0.108280995627972	0.154312673819813	0.243463016219431	0	0	0	0	0	0	0	0.114097539914639	0.124638537439348	0.280029730967879	0.0664316579905132	0.0949285522736097	0.131392223994418	0.128299586390959	0.168605248652819	0	0.124638537439348	0.130408751289091	0.102740117974388	0	0	0	0.137327407650497	0.122455042774709	0.0760396621992855	0.074633645464767	0.200976707404042	0.14117159133773	0	0.118701126582989	0.190783035684329	0.126369026811811	0.0951568636647423	0.0900773893339835	0.0987394960445882	0.102740117974388	0	0.110197725066755	0.080077159924699	0	0	0	0	0	0	0.0966961539883783	0.0900773893339835	0.0888967973150694	0.0909199596078941	0.0855863879848194	0.0873139967806414	0.0985424686376051	0.0869811009681299	0	0	0	0	0	0	0	0.105636617437543	0	0	0	0.116410590402634	0.0828470870648069	0.0721864509623671	0.0712482812002564	0	0	0	0	0	0	0.168046368370353	0.0848466309283639	0	0.0956069174294409	0.0927641018402139	0.112513670911202	0.0977387029792001	0.0721864509623671	0.0906429001976908	0.0627452605631713	0	0.10771215476993	0.0790328508304809	0	0	0	0	0	0.114335284384317	0	0.0560554105775737	0.0932634273331634	0	0.148396988601572	0.113617442137933	0	0	0	0	0.109116037994647	0	0	0	0	0	0	0.122842312755622	0.122938615889976	0	0	0	0	0	0	0.0909199596078941	0.0935089391589864	0.0894957639743112	0	0	0	0	0	0	0.0721864509623671	0	0.0664316579905132	0.0836751270439143	0	0	0	0.0859451445629889	0.0702279513407168	0	0	0	0	0	0
ubiquitin-protein ligase activity	0	0	0	0	0	0.150314410223595	0.960032473615188	0.862128449056831	0	0	0	0	0	0	0	0	0	0.0878279389007074	0.07282775094149	0.0911066454296252	0.116235837526195	0	0	0	0	0	0	0	0.0754134761924946	0.0798785889562829	0.123964155416929	0.0511538711551628	0.0665334356360396	0.0825995800267735	0.0813665941864792	0.0959065908369566	0	0.0798785889562829	0.0822098287970581	0.0702785393462043	0	0	0	0.084906464647334	0.0789760850251026	0.0566674007777509	0.0558828385305333	0.105579902086693	0.0863604337313604	0	0.0773974728816679	0.102697295186674	0.0805858259959883	0.0666455087504646	0.0641133988678237	0.0683832776543522	0.0702785393462043	0	0.0736898165457856	0.0588797977342314	0	0	0	0	0	0	0.0673969278107532	0.0641133988678237	0.0635130417684128	0.064539098035177	0.0618050806712798	0.0627009719117659	0.0682887168488573	0.0625291192956068	0	0	0	0	0	0	0	0.0716218837546299	0	0	0	0.0764170646354017	0.0603637676230414	0.0544994358673205	0.0539629735408784	0	0	0	0	0	0	0.0957255007543783	0.0614183822784564	0	0.0668659591701933	0.0654628881035028	0.0747182702842653	0.0679017539017963	0.0544994358673205	0.064399369731339	0.0489398231334132	0	0.0725699836832141	0.0583132373389867	0	0	0	0	0	0.0755172646547255	0	0.0447721973248559	0.0657111595168002	0	0.0890116867612879	0.0752034395483754	0	0	0	0	0.0732045437613015	0	0	0	0	0	0	0.0791369880815593	0.0791769441153443	0	0	0	0	0	0	0.064539098035177	0.586470757749295	0.0638181974778353	0	0	0	0	0	0	0.0544994358673205	0	0.455702691763669	0.0608021702033167	0	0	0	0.0619919479621526	0.0533756261278698	0	0	0	0	0	0
ligase activity	0	0	0	0	0	0.171311703553069	0.862128449056831	0.935989508524324	0	0	0	0	0	0	0	0	0	0.0946030008064459	0.0774256273771721	0.0984180438248854	0.128406144098065	0	0	0	0	0	0	0	0.0803547167686227	0.0854438680612348	0.137903668705041	0.0533804410212366	0.0703500662086456	0.0885646260193802	0.0871486526601437	0.104043085440812	0	0.0854438680612348	0.0881167019109058	0.0745507265125043	0	0	0	0.0912220912668345	0.0844120374680341	0.0594126904525229	0.0585508476443445	0.115525597193345	0.092902547660108	0	0.0826111113152506	0.112083177495071	0.0862535864727434	0.0704753781703399	0.0676500531412736	0.072421528216689	0.0745507265125043	0	0.0784007083079694	0.0618492504527645	0	0	0	0	0	0	0.0713161859919989	0.0676500531412736	0.0669819799260724	0.0681241865740005	0.0650851398898082	0.0660794110585234	0.07231547807716	0.065888568250772	0	0	0	0	0	0	0	0.0760641156284777	0	0	0	0.0814951223408023	0.0634887591339716	0.0570339891147235	0.056446737869952	0	0	0	0	0	0	0.103829999575985	0.0646564497319533	0	0.0707219403987729	0.0691542776252412	0.0795659001713133	0.071881678714127	0.0570339891147235	0.0679685222693161	0.0509739905521482	0	0.0771343502469507	0.0612244062094897	0	0	0	0	0	0.0804725622869095	0	0.0464686596498301	0.0694313973115943	0	0.0959778511283669	0.0801162978830283	0	0	0	0	0.0778516377442392	0	0	0	0	0	0	0.0845958786332381	0.0846415387348967	0	0	0	0	0	0	0.0681241865740005	0.619738830813493	0.0673214688563216	0	0	0	0	0	0	0.0570339891147235	0	0.475538021103496	0.063973910681384	0	0	0	0.0652924012346857	0.0558044000449738	0	0	0	0	0	0
DNA binding	0	0.200321838641749	0.318962102623385	0.24622612220824	0.539481254922512	0	0	0	0.884781115343783	0.837176363318357	0	0	0.124392050231386	0	0	0	0	0	0	0	0	0.548866209695445	0	0	0	0.469004324116163	0.33368892593657	0.307785317168694	0	0	0	0	0	0	0	0	0.147342323090237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169449323481084	0.156523405558831	0	0	0	0	0	0	0	0	0	0.28097306367224	0	0	0	0	0	0	0.105594406153409	0	0	0	0	0	0	0	0	0	0	0	0.473201727466013	0	0	0.144745977119777	0	0.114332404903609	0	0	0	0	0	0.146684961829843	0.152743055481456	0	0	0	0	0	0	0	0	0.123341147010032	0	0	0	0.251237148646631	0.120459911299592	0.0967735538582464	0.499696011453184	0	0	0	0	0.114332404903609	0	0	0	0.101404998311352	0.439194690117149	0.400847864357233	0	0	0	0	0.400847864357233	0	0	0	0	0	0	0	0	0.0808715606427626
transcription factor activity	0	0.190527725740271	0.294830296904645	0.231592962627873	0.503567987999918	0	0	0	0.837176363318357	0.909885717854243	0.64096982632147	0.909692303655043	0.120544205065033	0	0	0	0	0	0	0	0	0.530164777349771	0	0	0	0.455281166947704	0.319590951800829	0.295751716053933	0	0	0	0	0	0	0	0	0.141974282151381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162388213621924	0.15047926474349	0	0	0	0	0	0	0	0	0	0.270910448090292	0	0	0	0	0	0	0.102808611935915	0	0	0	0	0	0	0	0	0	0	0	0.459235494766708	0	0	0.139562123885757	0	0.111073596716717	0	0	0	0	0	0.141363847693853	0.146981971996655	0	0	0	0	0	0	0	0	0.119557053913161	0	0	0	0.243161109553658	0.116847956672156	0.0944285759519582	0.484147768365329	0	0	0	0	0.111073596716717	0	0	0	0.0988331772755225	0.427138143189128	0.390780631611013	0	0	0	0	0.390780631611013	0	0	0	0	0	0	0	0	0.0792273792121311
