defense/immunity protein	membrane-bound signaling molecule	receptor	signaling molecule	ligase	ubiquitin-protein ligase	cell adhesion molecule	cytokine receptor	immunoglobulin receptor superfamily	transcription cofactor	transcription factor	growth factor	enzyme modulator	protease inhibitor	serine protease inhibitor	nucleic acid binding	kinase	non-receptor serine/threonine protein kinase	non-receptor tyrosine protein kinase	protein kinase	transferase	DNA binding protein	helix-turn-helix transcription factor	homeobox transcription factor	kinase activator	kinase modulator	replication origin binding protein	RNA binding protein	mRNA processing factor	DNA helicase	helicase	hydrolase	nucleotidyltransferase	primase	nuclease	chromatin/chromatin-binding protein	phosphatase	protein phosphatase	DNA-directed RNA polymerase	endoribonuclease	transporter	cation transporter	glycosyltransferase	isomerase	mutase	phosphorylase	metalloprotease	protease	amino acid transporter	acyltransferase	decarboxylase	dehydrogenase	lyase	oxidoreductase	deaminase	dehydratase	epimerase/racemase	ATP-binding cassette (ABC) transporter	carbohydrate transporter	transfer/carrier protein	pyrophosphatase	anion channel	ion channel	ATP synthase	potassium channel	voltage-gated ion channel	voltage-gated potassium channel	oxygenase	adenylate cyclase	cyclase	guanylate cyclase	hydroxylase	reductase	oxidase	nucleotide phosphatase	phosphodiesterase	hydratase	deacetylase	carbohydrate kinase	nucleotide kinase	transaminase	esterase	cyclic nucleotide-gated ion channel	ligand-gated ion channel	peroxidase	calcium-binding protein	calmodulin	intracellular calcium-sensing protein	mitochondrial carrier protein	acetyltransferase	G-protein coupled receptor	cytoskeletal protein	DNA methyltransferase	methyltransferase	carbohydrate phosphatase	amino acid kinase	translation elongation factor	translation factor	G-protein modulator	guanyl-nucleotide exchange factor	translation initiation factor	serine protease	storage protein	glycosidase	lipase	phospholipase	galactosidase	aldolase	glucosidase	transketolase	apolipoprotein	chaperone	cysteine protease	DNA glycosylase	basic helix-loop-helix transcription factor	amylase	ionotropic glutamate receptor	calcium channel	sodium channel	voltage-gated calcium channel	voltage-gated sodium channel	annexin	G-protein	cell junction protein	peptide hormone	membrane traffic protein	transmembrane receptor regulatory/adaptor protein	transaldolase	endodeoxyribonuclease	extracellular matrix glycoprotein	extracellular matrix protein	extracellular matrix structural protein	extracellular matrix linker protein	antibacterial response protein	complement component	structural protein	reverse transcriptase	surfactant	RNA helicase	KRAB box transcription factor	zinc finger transcription factor	actin family cytoskeletal protein	non-motor actin binding protein	actin binding motor protein	immunoglobulin superfamily cell adhesion molecule	protein kinase receptor	tyrosine protein kinase receptor	phosphatase inhibitor	phosphatase modulator	serine/threonine protein kinase receptor	kinase inhibitor	ribosomal protein	cadherin	microtubule family cytoskeletal protein	non-motor microtubule binding protein	mRNA splicing factor	aspartic protease	viral coat protein	viral protein	translation release factor	mRNA polyadenylation factor	ribonucleoprotein	cytokine	neuropeptide	damaged DNA-binding protein	HMG box transcription factor	microtubule binding motor protein	exoribonuclease	aminoacyl-tRNA synthetase	chaperonin	vesicle coat protein	tubulin	DNA-directed DNA polymerase	SNARE protein	Hsp90 family chaperone	Hsp70 family chaperone	tumor necrosis factor receptor	tumor necrosis factor family member	interleukin superfamily	actin and actin related protein	tight junction	membrane trafficking regulatory protein	centromere DNA-binding protein	DNA topoisomerase	CREB transcription factor	basic leucine zipper transcription factor	small GTPase	heterotrimeric G-protein	nuclear hormone receptor	DNA ligase	histone	RNA methyltransferase	TGF-beta receptor	DNA strand-pairing protein	type I cytokine receptor	DNA polymerase processivity factor	intermediate filament	exodeoxyribonuclease	DNA photolyase	GABA receptor	acetylcholine receptor	cysteine protease inhibitor	major histocompatibility complex antigen	myelin protein	phosphatase activator	intermediate filament binding protein
defense/immunity protein	0.941250074480129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
membrane-bound signaling molecule	0	0.967824584400882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
receptor	0	0	0.789548948340583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
signaling molecule	0	0	0	0.9318953703152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligase	0	0	0	0	0.938926294464637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubiquitin-protein ligase	0	0	0	0	0	0.961866174104749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell adhesion molecule	0	0	0	0	0	0	0.943752606804505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytokine receptor	0	0	0	0	0	0	0	0.986236072215933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
immunoglobulin receptor superfamily	0	0	0	0	0	0	0	0	0.987546922481082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcription cofactor	0	0	0	0	0	0	0	0	0	0.988559852231425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
